,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAP,FRI_MAP
12,ZN,0.0,11.5619049072,0.0,0.0,0.0,0.0,0.0,0.0
11,RAD,0.000135368458122,0.194979175925,-7.14798696947e-05,4.75237401228e-05,7.14798696947e-05,4.75237401228e-05,0.0,0.0
10,INDUS,0.0228873709097,0.197875842452,-0.00427826329345,0.00969340002736,0.00427826329345,0.00969340002736,0.0,0.0
9,RM,0.023797084834,0.154306009412,-0.000391505344163,0.000167156540634,0.000391505344163,0.000167156540634,0.0,0.0
8,PTRATIO,0.0448684710701,0.176661983132,0.00872090232204,-0.00575258000678,0.00872090232204,0.00665960481637,0.0,0.0
7,AGE,0.0506969982721,0.169456079602,0.00885196136443,-0.00391871894828,0.0115272052328,0.00570732983594,0.0,0.0
6,TAX,0.0697271685652,0.186899617314,0.0211186460614,-0.00328618251649,0.0211759171298,0.00332594362243,0.0,0.0
5,LSTAT,0.0697951856564,0.153580784798,0.00315553270557,-0.00557424207849,0.0056274292475,0.00576373342325,0.0,0.0
4,DIS,0.0777258925202,0.166631743312,0.00839525419125,-0.000254922394966,0.0109896946573,0.00281533133117,0.0,0.0
3,B,0.110891049498,0.145881548524,-0.00448549939854,-0.00063361300057,0.00648670708717,0.00630046726865,0.0,0.00244860625814
2,NOX,0.15939453688,0.161039322615,-0.00695694445145,0.0503591657429,0.00695694445145,0.0503591657429,0.0,0.0
1,MEDV,0.172165126804,0.141650304198,-0.0103837830125,0.00469338071171,0.0138161393692,0.00657459644735,0.0,0.0
0,CRIM,0.197915746532,0.290263622999,0.00457377993758,0.0224414105655,0.0153564821928,0.0232754758508,0.0,0.0
